data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8659788,170,COL9316,9316,"25 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)","CNP: National Strike Committee; Teachers (Colombia); Labour Group (Colombia); Women (Colombia)",6,60,"South America",Colombia,Bolivar,"Cartagena de Indias",,Cartagena,10.3917,-75.4824,1,"El Universal (Colombia)",National,"On 25 November 2021, in Cartagena (Bolivar), teachers, workers, and other citizens protested as part of ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Likewise, women joined the march to demand an end to gender-based violence. [size=no report]",0,1638213609,COL
8659789,170,COL9333,9333,"25 November 2021",2021,2,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Bolivar,Arjona,,Arjona,10.2566,-75.3445,1,"El Universal (Colombia)",National,"Around 25 November 2021, in Arjona (Bolivar), residents and relatives of a child who died due to a suspected case of medical negligence protested in front of the hospital facilities to demand accountability for the case and improvements in local health services. [size=no report]",0,1638213609,COL
8659790,170,COL9327,9327,"25 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)","Women (Colombia)",6,60,"South America",Colombia,Sucre,Sincelejo,,Sincelejo,9.3023,-75.3955,1,"El Universal (Colombia)",National,"On 25 November 2021, in Sincelejo (Sucre), women protested against gender-based violence near the Guacari area. The event marked the International Day for the Elimination of Violence against Women. [size=no report]",0,1638213609,COL
8659931,170,COL9324,9324,"25 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)","Women (Colombia)",6,60,"South America",Colombia,"Norte de Santander",Cucuta,,Cucuta,7.8939,-72.5078,1,"La Opinion (Colombia)",Subnational,"On 25 November 2021, in Cucuta (Norte de Santander), women protested against gender-based violence near the Guacari area. The event marked the International Day for the Elimination of Violence against Women. [size=no report]",0,1638213610,COL
8659552,170,COL9318,9318,"24 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)","Women (Colombia)",6,60,"South America",Colombia,Antioquia,Medellin,,Medellin,6.2496,-75.5774,1,"El Tiempo (Colombia); El Espectador",National,"On 24 November 2021, in Medellin (Antioquia), 3,000 women from the Bajo Cauca sub-region gathered near San Antonio Park to protest against gender-based violence. The event marked one of the events previous to the International Day for the Elimination of Violence against Women. The women planned to continue a journey in direction to the municipality of Caucasia in an event called 'Un viaje de Alegria y Fiesta por la Vida' ('A journey of joy and party for life'). [size=3,000]",0,1638213609,COL
8660082,170,COL9328,9328,"24 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)","Women (Colombia); Government of Colombia (2018-)",6,60,"South America",Colombia,Santander,Bucaramanga,,Bucaramanga,7.1163,-73.1326,1,"Vanguardia Liberal",Subnational,"On 24 November 2021, in Bucaramanga (Santander), women gathered to protest against gender-based violence. The event was organized by the municipality and marked one of the events previous to the International Day for the Elimination of Violence against Women. [size=no report]",0,1638213610,COL
8659556,170,COL9331,9331,"23 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Cesar,Valledupar,,"Los Haticos",10.6938,-73.3293,1,"El Heraldo (Colombia); El Tiempo (Colombia)",National,"On 23 November 2021, in Los Haticos (Cesar), residents blocked for 3 hours a nearby freeway to protest against the death of five town residents killed in a traffic accident in La Guajira department. The group demanded justice for the victims. [size=no report]",0,1638213609,COL
8659724,170,COL9332,9332,"23 November 2021",2021,2,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,Cordoba,"San Carlos",,"San Carlos",8.7971,-75.6978,1,"El Colombiano",National,"Around 23 November 2021, in San Carlos (Antioquia), residents protested against the development of a mining project in the area. The group expressed environmental concerns and demanded popular consultation previous to the approval of the project. [size=no report]",0,1638213609,COL
8659753,170,COL9330,9330,"23 November 2021",2021,1,Protests,"Peaceful protest","Protesters (Colombia)",,6,60,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - Santa Fe",4.6113,-74.0592,1,"El Espectador",National,"On 23 November 2021, in Bogota - Santa Fe (Bogota, D.C.), citizens staged a protest against police brutality. The group gathered on the day that marked the death of a young man killed during a protest in 2019. The group demanded justice for the victim and accountability for cases of excessive use of force by police officers. [size=no report]",0,1638213609,COL
8659755,170,COL9317,9317,"23 November 2021",2021,1,Riots,"Violent demonstration","Rioters (Colombia)",,5,15,"South America",Colombia,"Bogota, D.C.","Bogota, D.C.",,"Bogota - Kennedy",4.6165,-74.146,1,"El Espectador",National,"On 23 November 2021, in Bogota - Kennedy (Bogota, D.C.), rioters and ESMAD police forces clashed during demonstrations near the El Tintal area. The clashes lasted until dawn the following day. The reasons for the demonstration were not mentioned, but sources stated that the group potentially gathered to demand accountability for cases of excessive use of force by police officers. [size=no report]",0,1638213609,COL
