event_date,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,admin1,admin2,admin3,location,source_scale,notes,fatalities
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Guacari,,Guacari,National,"On 1 June 2021, in Guacari (Valle del Cauca), protesters blocked the streets during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Buga,,Guadalajara de Buga,National,"On 1 June 2021, in Guadalajara De Buga (Valle del Cauca), protesters blocked the streets during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Cundinamarca,Soacha,,Soacha,National,"Around 1 June 2021 (as reported), in Soacha (Cundinamarca), protesters blocked the streets during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. The blockade had lasted several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Yotoco,,Mediacanoa,National,"Around 1 June 2021 (as reported), in Mediacanoa locality, Yotoco municipality (Valle del Cauca), protesters blocked the route that connects the town with the cities of Cali and Buenaventura during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. The blockade had lasted several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Valle del Cauca,Palmira,,Palmira,National,"On 1 June 2021, in Palmira (Valle del Cauca), protesters blocked the streets during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Cundinamarca,Gachancipa,,Gachancipa,National,"Around 1 June 2021 (as reported), in Gachancipa (Cundinamarca), protesters blocked the streets during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. The blockade had lasted several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Risaralda,Pereira,,Pereira,National,"Around 1 June 2021 (as reported), in Pereira municipality (Risaralda), protesters blocked the route la Romelia during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. The blockade had lasted several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Cundinamarca,La Vega,,La Vega,National,"On 1 June 2021, in La Vega municipality (Cundinamarca), protesters blocked municipal routes during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee; Indigenous Group (Colombia); CRIC: Indigenous Regional Council of Cauca,6,,,0,60,Cauca,Caldono,,Caldono,National,"On 1 June 2021, in Caldono municipality (Cauca), peaceful protesters rallied near the Pan-American highway during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Indigenous people and CRIC activists blocked the road and demanded the presence of a government delegated to open the road. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee; Farmers (Colombia),6,,,0,60,Cauca,Caloto,,Caloto,National,"On 1 June 2021, in the rural area of Caloto municipality (Cauca), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Groups of farmers blocked the rural roads for several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee; Farmers (Colombia),6,,,0,60,Cauca,Corinto,,Corinto,National,"On 1 June 2021, in the rural area of Corinto municipality (Cauca), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Groups of farmers blocked the rural roads for several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee; Farmers (Colombia),6,,,0,60,Cauca,Miranda,,Miranda,National,"On 1 June 2021, in the rural area of Miranda municipality (Cauca), peaceful protesters rallied during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. Groups of farmers blocked the rural roads for several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Tolima,Ibague,,Ibague,National,"Around 1 June 2021 (as reported), in Ibague municipality (Tolima), protesters blocked the round point El Salado located in the city's outskirts during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. The blockade had lasted several days. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Huila,Neiva,,Neiva,National,"On 1 June 2021, in Huila department (coded to Neiva), protesters blocked municipal routes during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. [size=no report]",0
1-Jun-21,Protests,Peaceful protest,Protesters (Colombia),CNP: National Strike Committee,6,,,0,60,Cundinamarca,San Antonio del Tequendama,,San Antonio del Tequendama,National,"Around 1 June 2021 (as reported), in San Antonio del Tequendama municipality (Cundinamarca), protesters blocked municipal routes during ongoing anti-government demonstrations called by the National Strike Committee to demand health, education, and security reforms, among others. The blockade had lasted several days. [size=no report]",0
